scene,speaker
32,Mr. Brown
32,Michael
32,Mr. Brown
32,Michael
32,Mr. Brown
32,Michael
32,Mr. Brown
32,Michael
32,Mr. Brown
32,Pam
32,Mr. Brown
32,Michael
32,Mr. Brown
32,Michael
32,Mr. Brown
32,Michael
33,Pam
34,Mr. Brown
34,Ryan
34,Mr. Brown
34,Ryan
34,Michael
34,Mr. Brown
34,Michael
34,Ryan
34,Michael
34,Mr. Brown
35,Pam
36,Michael
37,Dwight
37,Jim
37,Dwight
37,Jim
37,Dwight
37,Pam
37,Dwight
37,Pam
38,Michael
38,Dwight
38,Michael
38,Dwight
38,Michael
38,Dwight
38,Michael
38,Dwight
38,Michael
38,Dwight
38,Michael
38,Dwight
39,Michael
40,Michael
41,Michael
42,Jim
42,Pam
42,Jim
42,Dwight
42,Jim
42,Dwight
42,Jim
42,Dwight
42,Jim
42,Dwight
42,Jim
42,Dwight
42,Pam
42,Dwight
42,Pam
42,Dwight
42,Pam
42,Dwight
42,Pam
42,Dwight
42,Pam
42,Dwight
43,Dwight
44,Dwight
44,Michael
44,Pam
44,Michael
45,Pam
46,Michael
46,Jim
46,Michael
46,Pam
46,Jim
46,Michael
1,Michael
1,Pam
1,Michael
1,Pam
1,Michael
1,Pam
1,Michael
1,Pam
2,Michael
3,Jan
3,Michael
3,Jan
3,Michael
3,Jan
3,Michael
3,Jan
3,Michael
3,Jan
3,Michael
3,Jan
3,Michael
3,Jan
3,Michael
3,Jan
3,Michael
3,Jan
4,Jim
4,Pam
4,Jim
4,Pam
4,Jim
4,Pam
4,Michael
5,Michael
5,Jim
5,Michael
5,Jim
5,Michael
5,Jim
6,Jim
7,Dwight
8,Jim
9,Dwight
9,Michael
9,Dwight
9,Michael
9,Dwight
9,Michael
9,Dwight
9,Michael
9,Dwight
10,Michael
11,Dwight
11,Dwight
12,Stanley
13,Pam
13,Michael
13,Pam
13,Michael
13,Pam
13,Michael
13,Pam
13,Michael
13,Pam
13,Michael
13,Pam
14,Pam
14,Dwight
14,Jim
14,Dwight
14,Jim
14,Dwight
14,Jim
14,Dwight
14,Jim
14,Pam
14,Dwight
14,Pam
14,Dwight
14,Jim
14,Dwight
14,Jim
14,Dwight
14,Jim
14,Dwight
14,Pam
14,Dwight
15,Oscar
15,Kevin
15,Angela
16,Oscar
16,Michael
16,Meredith
16,Michael
16,Pam
16,Michael
16,Dwight
16,Oscar
16,Pam
16,Michael
16,Dwight
16,Michael
16,Dwight
16,Michael
17,Oscar
17,Angela
17,Oscar
17,Angela
17,Kevin
17,Angela
18,Michael
19,Dwight
19,Jim
19,Dwight
19,Jim
20,Michael
20,Pam
20,Michael
21,Michael
21,Travel Agent
21,Michael
22,Jim
22,Pam
22,Jim
22,Pam
22,Jim
22,Pam
22,Jim
23,Michael
23,Man on Phone
23,Michael
23,Man on Phone
23,Michael
23,Man on Phone
23,Michael
24,Michael
25,Dwight
25,Dwight
25,Jim
25,Dwight
25,Jim
25,Dwight
25,Dwight
25,Jim
25,Dwight
25,Jim
25,Dwight
26,Jim
26,Pam
27,Dwight
27,Jim
27,Dwight
27,Jim
27,Dwight
27,Jim
27,Dwight
27,Jim
27,Dwight
27,Jim
27,Dwight
27,Stanley
28,Jim
28,Dwight
28,Jim
28,Dwight
28,Jim
28,Dwight
28,Jim
28,Pam
28,Jim
28,Dwight
28,Pam
28,Jim
28,Dwight
28,Pam
28,Jim
28,Pam
28,Jim
28,Dwight
28,Pam
28,Dwight
28,Jim
28,Pam
28,Jim
28,Dwight
28,Pam
28,Jim
29,Jan
29,Dwight
29,Jan
29,Dwight
29,Jan
29,Dwight
29,Jan
29,Dwight
29,Jan
29,Dwight
29,Jan
29,Dwight
29,Jan
29,Dwight
29,Jan
29,Dwight
29,Jan
29,Dwight
30,Michael
30,Ryan
30,Michael
30,Stanley
30,Michael
30,Stanley
30,Michael
30,Dwight
30,Michael
31,Dwight
32,Dwight
32,Stanley
32,Dwight
32,Meredith
32,Dwight
32,Meredith
33,Dwight
33,Kevin
33,Dwight
33,Kevin
34,Kevin
34,Oscar
34,Kevin
34,Oscar
35,Oscar
35,Michael
35,Oscar
35,Pam
35,Michael
35,Dwight
35,Michael
35,Angela
35,Michael
35,Stanley
35,Michael
36,Michael
37,Michael
38,Michael
39,Dwight
40,Dwight
40,Oscar
40,Dwight
40,Oscar
40,Dwight
40,Oscar
41,Dwight
42,Oscar
42,Michael
42,Oscar
42,Michael
42,Oscar
42,Michael
43,Pam
43,Jim
43,Pam
43,Jim
43,Pam
43,Jim
43,Pam
44,Jim
44,Dwight
44,Jim
44,Dwight
44,Jim
44,Dwight
45,Pam
45,Dwight
45,Pam
45,Dwight
45,Pam
45,Dwight
45,Oscar
45,Dwight
46,Michael
46,Man on Phone
46,Michael
46,Man on Phone
46,Michael
46,Man on Phone
46,Michael
46,Man on Phone
46,Michael
46,Man on Phone
46,Michael
46,Man on Phone
46,Michael
46,Man on Phone
46,Michael
47,Dwight
47,Pam
47,Dwight
47,Pam
47,Dwight
47,Pam
47,Dwight
47,Pam
47,Dwight
47,Pam
47,Jim
47,Dwight
47,Jim
